freq_GHz,hfss_s11_db,hfss_s21_db,ALPS_s11_db,ALPS_s21_db,ALPS_err_s11_db,ALPS_err_s21_db,AWE_s11_db,AWE_s21_db,AWE_err_s11_db,AWE_err_s21_db,GAWE_s11_db,GAWE_s21_db,GAWE_err_s11_db,GAWE_err_s21_db,MGAWE_s11_db,MGAWE_s21_db,MGAWE_err_s11_db,MGAWE_err_s21_db,WCAWE_s11_db,WCAWE_s21_db,WCAWE_err_s11_db,WCAWE_err_s21_db
40.3,-10.71372678846101,-0.38505442090320147,-10.713395564038601,-0.3850851304518079,0.00033122442240873795,-0.000030709548606455694,-10.713359036836662,-0.3850853709599927,0.00036775162434743436,-0.00003095005679121243,-10.713395564235144,-0.38508512092379327,0.0003312242258655118,-0.00003070002059180066,-10.713395564090773,-0.3850851272006,0.0003312243702371376,-0.00003070629739854169,-10.713395564257887,-0.38508512162416697,0.0003312242031228152,-0.000030700720965504136
40.33,-14.256849804872706,-0.1661032083695094,-14.25624688635758,-0.16612671636175613,0.0006029185151259497,-0.000023507992246735165,-14.25617801165978,-0.1661269513920083,0.0006717932129269855,-0.000023743022498912136,-14.256246886595958,-0.16612670905107388,0.0006029182767477437,-0.000023500681564481152,-14.256246886441698,-0.16612671206424426,0.000602918431008348,-0.000023503694734861025,-14.256246886627135,-0.16612670961094572,0.0006029182455709048,-0.000023501241436324483
40.36,-19.098880855317407,-0.05377522206413764,-19.097701597322732,-0.053789916682956344,0.0011792579946749981,-0.000014694618818707206,-19.09758873719833,-0.05379011961490077,0.001292118119078367,-0.000014897550763129375,-19.097701597629314,-0.05378991110931268,0.0011792576880935712,-0.000014689045175042548,-19.09770159748358,-0.05378991119599991,0.0011792578338258863,-0.000014689131862269389,-19.09770159767579,-0.053789911554135504,0.0011792576416169709,-0.000014689489997866956
40.39,-27.0313091560741,-0.008611601100765231,-27.028190716066,-0.008617793010653725,0.003118440008101686,-0.000006191909888493552,-27.027964470567184,-0.008617954847301913,0.0033446855069172443,-0.0000063537465366820395,-27.0281907165983,-0.008617788789955023,0.0031184394758021483,-0.000006187689189791554,-27.02819071651685,-0.008617786211183413,0.003118439557251662,-0.000006185110418182108,-27.028190716696677,-0.008617789141030037,0.003118439377423954,-0.0000061880402648060995
40.42,-44.02601827309211,-0.00017186643848879878,-44.047830275555725,-0.00017100541304491262,-0.021812002463612146,8.610254438861514e-7,-44.04930575670661,-0.00017112749610787622,-0.02328748361449584,7.389423809225568e-7,-44.04783027272403,-0.00017100223978094297,-0.021811999631914603,8.641987078558038e-7,-44.0478302710281,-0.00017099720383165762,-0.021811997935984095,8.69234657141152e-7,-44.0478302723269,-0.00017100251490995,-0.021811999234785162,8.639235788487703e-7
40.45,-27.453282880216147,-0.007813518425543918,-27.456609300372676,-0.007807530685134443,-0.003326420156529508,0.000005987740409474883,-27.45674459971507,-0.007807619013787777,-0.0034617194989223776,0.00000589941175614065,-27.456609300089365,-0.007807528317787972,-0.003326419873218356,0.000005990107755945648,-27.456609299659153,-0.007807520999738964,-0.0033264194430060456,0.000005997425804954437,-27.45660930002977,-0.007807528531817959,-0.003326419813621584,0.0000059898937259592056
40.48,-23.574431666009765,-0.01911157032242115,-23.57650645056338,-0.019102422105315334,-0.00207478455361354,0.000009148217105816453,-23.57656476100783,-0.019102483897874195,-0.0021330949980651326,0.000009086424546955046,-23.576506450429658,-0.019102420353740573,-0.00207478441989295,0.000009149968680576687,-23.576506450018854,-0.01910241091169416,-0.0020747840090891145,0.000009159410726988781,-23.576506450400533,-0.019102420518837395,-0.002074784390767803,0.000009149803583755056
40.51,-21.974165750333356,-0.027653472624799218,-21.975817435366814,-0.027642924077845295,-0.00165168503345825,0.000010548546953922239,-21.97584922889491,-0.027642966067259012,-0.0016834785615529313,0.00001050655754020538,-21.975817435279023,-0.02764292279320017,-0.0016516849456671423,0.000010549831599048626,-21.975817434829075,-0.027642911380755968,-0.0016516844957195076,0.000010561244043250095,-21.975817435261,-0.027642922919481838,-0.0016516849276442258,0.000010549705317379476
40.54,-21.474696477341805,-0.031035985386248563,-21.47616307886933,-0.031025468867169195,-0.001466601527525313,0.000010516519079368375,-21.47618221005547,-0.03102549664587051,-0.0014857327136645893,0.000010488740378053474,-21.47616307879835,-0.031025467933711366,-0.0014666014565456464,0.00001051745253719677,-21.476163078278923,-0.03102545470937917,-0.0014666009371175903,0.000010530676869392047,-21.476163078787152,-0.031025468029467207,-0.001466601445347493,0.000010517356781356013
40.57,-21.723094233537353,-0.029304836715566763,-21.724487061318364,-0.029295408094998508,-0.001392827781010908,0.00000942862056825533,-21.72449926782461,-0.029295426001745475,-0.001405034287255802,0.000009410713821288164,-21.72448706125301,-0.029295407423352002,-0.0013928277156587399,0.000009429292214761104,-21.724487060631965,-0.029295392557042867,-0.0013928270946124144,0.000009444158523896212,-21.72448706124596,-0.02929540749520393,-0.0013928277086066032,0.000009429220362833918
40.6,-22.619773314915065,-0.023823062407252696,-22.62116749395657,-0.023815394917383874,-0.0013941790415046285,0.000007667489868821986,-22.621175656941208,-0.023815406163635398,-0.0014023420261430886,0.000007656243617298192,-22.621167493888606,-0.023815394439117007,-0.0013941789735412158,0.000007667968135689068,-22.62116749312469,-0.023815378116599954,-0.0013941782096260624,0.000007684290652742315,-22.6211674938849,-0.02381539449245535,-0.0013941789698357354,0.00000766791479734491
40.63,-24.215849726874804,-0.016482504507885645,-24.217321331137644,-0.016476909764115987,-0.0014716042628393211,0.0000055947437696581,-24.217327080491394,-0.01647691664051729,-0.0014773536165897383,0.000005587867368355565,-24.217321331058756,-0.016476909427201057,-0.0014716041839513139,0.000005595080684588083,-24.217321330085216,-0.01647689185185032,-0.0014716032104118426,0.000005612656035325347,-24.217321331059164,-0.016476909466314055,-0.001471604184359876,0.00000559504157159052
40.66,-26.75640241590137,-0.009174929491467199,-26.75807243482638,-0.009171398353980191,-0.0016700189250116182,0.000003531137487007216,-26.75807681203849,-0.009171402442648177,-0.0016743961371190608,0.000003527048819021439,-26.7580724347225,-0.009171398119290042,-0.0016700188211302702,0.000003531372177156475,-26.758072433401992,-0.009171379512383306,-0.001670017500622123,0.000003549979083892346,-26.758072434727662,-0.009171398147626816,-0.0016700188262923632,0.0000035313438403825753
40.69,-30.988958602502322,-0.003459883166214888,-30.99114376522391,-0.003458142065037811,-0.0021851627215880853,0.0000017411011770771152,-30.991147669361215,-0.003458144425707047,-0.002189066858893085,0.0000017387405078410703,-30.99114376505629,-0.00345814190346311,-0.0021851625539675013,0.0000017412627517782164,-30.991143762999723,-0.0034581225022973167,-0.0021851604974010286,0.0000017606639175714832,-30.99114376507169,-0.003458141923644874,-0.002185162569368515,0.0000017412425700139705
40.72,-40.52582129241756,-0.0003847879128517214,-40.530581296623126,-0.00038436638738300434,-0.004760004205564883,4.2152546871705634e-7,-40.53058720766886,-0.0003843677087436839,-0.00476591525129777,4.2020410803749126e-7,-40.530581296149116,-0.0003843662774862763,-0.004760003731554718,4.2163536544511304e-7,-40.5305812911071,-0.00038434633255084904,-0.00475999868953636,4.4158030087235525e-7,-40.53058129623182,-0.0003843662916451587,-0.004760003814261893,4.216212065627132e-7
40.75,-40.10620782803191,-0.00042382319343812385,-40.103090871263646,-0.0004241274991823008,0.003116956768266732,-3.0430574417695394e-7,-40.10308750613763,-0.0004241282149449532,0.0031203218942792432,-3.050215068293354e-7,-40.10309087180058,-0.00042412742537003667,0.003116956231330903,-3.042319319128189e-7,-40.10309087769496,-0.0004241071958701735,0.003116950336952584,-2.8400243204965104e-7,-40.1030908717666,-0.0004241274350832172,0.003116956265316162,-3.042416450933284e-7
40.78,-30.930198164606693,-0.003507032856403712,-30.929719199188966,-0.003507419811009437,0.00047896541772729506,-3.869546057249859e-7,-30.92971863531535,-0.0035074201855386034,0.00047952929134353894,-3.8732913489134685e-7,-30.929719199372478,-0.0035074197620741697,0.0004789652342154227,-3.8690567045768925e-7,-30.92971920094641,-0.0035073995108238316,0.0004789636602851033,-3.666544201195651e-7,-30.929719199351272,-0.0035074197686091628,0.00047896525542157065,-3.869122054507221e-7
40.81,-26.78583176993126,-0.00911290199643645,-26.785905375284123,-0.009112747388281682,-0.00007360535286338177,1.5460815476833756e-7,-26.78590520866848,-0.009112747577262376,-0.00007343873722120975,1.5441917407439665e-7,-26.78590537539779,-0.009112747356244953,-0.00007360546652890321,1.5464019149750985e-7,-26.785905376144154,-0.00911272734377478,-0.00007360621289365099,1.7465266166985516e-7,-26.78590537538341,-0.00911274736049824,-0.00007360545215107095,1.546359382105511e-7
40.84,-24.23784477160237,-0.016399081725999704,-24.238173360098237,-0.016397838668390303,-0.00032858849586858696,0.0000012430576094013546,-24.238173303148095,-0.01639783876029336,-0.00032853154572620724,0.0000012429657063432742,-24.23817336018447,-0.01639783864772919,-0.00032858858210005337,0.000001243078270513065,-24.238173360574184,-0.016397819126056916,-0.00032858897181498037,0.000001262599942788295,-24.238173360172,-0.016397838650380307,-0.00032858856963002836,0.0000012430756193976267
40.87,-22.525274857992272,-0.024348582660028133,-22.525765037543557,-0.024345826921823993,-0.0004901795512850526,0.0000027557382041402956,-22.525765017069883,-0.02434582696498273,-0.0004901590776107412,0.0000027556950454032947,-22.525765037614658,-0.02434582690874969,-0.0004901796223855115,0.0000027557512784423532,-22.525765037808668,-0.024345808115072705,-0.0004901798163956528,0.0000027745449554285317,-22.52576503760477,-0.02434582691030758,-0.0004901796124983093,0.000002755749720553119
40.9,-21.35412657703452,-0.03191290369931223,-21.35474204002741,-0.03190836480951723,-0.000615462992890059,0.000004538889794999945,-21.354742032594537,-0.031908364829289985,-0.0006154555600161871,0.000004538870022247066,-21.354742040090137,-0.03190836480146837,-0.0006154630556167717,0.000004538897843860135,-21.35474204016335,-0.031908346952084124,-0.0006154631288310952,0.00000455674722810856,-21.3547420400811,-0.03190836480229784,-0.0006154630465786681,0.000004538897014391696
