freq_GHz,hfss_s11_db,hfss_s21_db,AWE15_s11_db,AWE15_s21_db,AWE15_err_s11_db,AWE15_err_s21_db,GAWE30_s11_db,GAWE30_s21_db,GAWE30_err_s11_db,GAWE30_err_s21_db,WCAWE30_s11_db,WCAWE30_s21_db,WCAWE30_err_s11_db,WCAWE30_err_s21_db
41.05,-20.511335029014568,-0.03877825645861466,-20.512628341124874,-0.038766658477196306,-0.001293312110306033,0.000011597981418351444,-20.51262834116459,-0.03876665847577724,-0.0012933121500218192,0.000011597982837417697,-20.512628341182484,-0.03876665847594772,-0.001293312167916838,0.000011597982666936013
41.08,-21.236379517329596,-0.03279329020425874,-21.237912607590644,-0.03278167219118055,-0.0015330902610486419,0.000011618013078189271,-21.23791260762942,-0.03278167219033938,-0.001533090299822959,0.000011618013919356684,-21.237912607648546,-0.0327816721904536,-0.0015330903189507694,0.000011618013805135552
41.11,-22.347777248444846,-0.02536730521756601,-22.34964831061632,-0.025356346666861533,-0.0018710621714745912,0.00001095855070447696,-22.349648310658402,-0.025356346666489185,-0.0018710622135564847,0.000010958551076824946,-22.349648310679644,-0.025356346666528837,-0.0018710622347981598,0.000010958551037172637
41.14,-23.976819195477198,-0.017416983880899278,-23.97920988341904,-0.01740737964856629,-0.002390687941840497,0.000009604232332986046,-23.979209883468677,-0.017407379648565324,-0.0023906879914790125,0.000009604232333954021,-23.9792098834931,-0.01740737964855373,-0.0023906880159003663,0.000009604232345548913
41.17,-26.395772139616934,-0.009970237732683303,-26.39907421674884,-0.009962651231202085,-0.0033020771319058895,0.000007586501481218061,-26.39907421681311,-0.009962651231536127,-0.00330207719617448,0.000007586501147176239,-26.399074216844795,-0.00996265123150137,-0.0033020772278611332,0.0000075865011819331585
41.2,-30.291272093999957,-0.004063125551542961,-30.29660132934156,-0.004058140412074694,-0.005329235341601901,0.000004985139468267549,-30.29660132944029,-0.004058140412692152,-0.005329235440331814,0.000004985138850809208,-30.296601329489043,-0.004058140412639089,-0.005329235489085704,0.000004985138903872664
41.23,-38.403226510800245,-0.0006273256222598066,-38.41658537437729,-0.0006253987997996105,-0.01335886357704652,0.000001926822460196053,-38.416585374627616,-0.000625398800689749,-0.013358863827370726,0.0000019268215700576127,-38.41658537475397,-0.0006253988006212767,-0.01335886395372654,0.0000019268216385298588
41.26,-40.61629921578341,-0.00037685408934776506,-40.599966753193726,-0.00037827405029600635,0.016332462589680574,-0.0000014199609482412894,-40.59996675298663,-0.000378274051417568,0.01633246279677536,-0.0000014199620698029545,-40.59996675290877,-0.0003782740513597058,0.016332462874636633,-0.000001419962011940765
41.29,-30.692356524606875,-0.00370453645180676,-30.686672261682393,-0.0037093903811102453,0.005684262924482653,-0.000004853929303485268,-30.686672261604354,-0.003709390382477281,0.005684263002521561,-0.000004853930670521093,-30.68667226157124,-0.0037093903824232557,0.0056842630356364054,-0.000004853930616495732
41.32,-26.13021094004912,-0.01059968828910702,-26.126875534693504,-0.010607841988384123,0.0033354053556173824,-0.000008153699277101828,-26.126875534649862,-0.010607841989974309,0.003335405399258917,-0.000008153700867288144,-26.126875534631623,-0.010607841989912518,0.0033354054174985492,-0.000008153700805497294
41.35,-23.24985927630468,-0.02059813420025015,-23.247526522653335,-0.020609227479897598,0.0023327536513448877,-0.000011093279647447774,-23.24752652262464,-0.020609227481671342,0.002332753680040156,-0.00001109328142119212,-23.247526522613082,-0.020609227481636544,0.0023327536915971336,-0.000011093281386393566
41.38,-21.238918772498675,-0.03277404955139392,-21.23714237898597,-0.032787508595054436,0.00177639351270642,-0.000013459043660513093,-21.237142378965686,-0.03278750859698554,0.0017763935329888625,-0.000013459045591614205,-21.23714237895781,-0.032787508596995224,0.0017763935408652287,-0.0000134590456013009
41.41,-19.79389842626549,-0.04578060081059949,-19.79247688698923,-0.04579566753730538,0.0014215392762579881,-0.000015066726705890987,-19.792476886974367,-0.045795667539363476,0.0014215392911225422,-0.000015066728763987736,-19.792476886969286,-0.04579566753942649,0.0014215392962029227,-0.000015066728826999831
